id,name
279,м. Мала Къпина
280,кв. Курило
281,в.з. Старата Кория
282,с. Доброславци
283,жк. Дружба 1
284,
285,с. Житен
286,в.з. Къпина
287,м. Долни Смърдан
288,в.з. Пресвета
289,в.з. Средни Рид
290,кв. Гниляне
291,в.з. Целините
292,в.з. Русия
293,кв. Кумарица
294,в.з. Хумни Дол
295,в.з. Бранчовица
296,с. Подгумер
297,в.з. Малинова Долина - Герена
298,махала Долна Календерова
299,махала Масова
300,махала Попова
301,махала Календерова
302,махала Манов Камък
303,махала Бурнаска
304,махала Чаршийска
305,махала Кьосева
306,махала Джамбова
307,махала Турмачка
308,махала Вилите
309,м. Ширините
310,Западенпарк
